"","n","m","poder_U1","poder_U2"
"1",10,10,0.23,0.23
"2",60,10,0.2215,0.228
"3",110,10,0.2055,0.2145
"4",160,10,0.225,0.226
"5",210,10,0.2345,0.24
"6",260,10,0.2025,0.189
"7",310,10,0.2445,0.247
"8",360,10,0.2145,0.213
"9",410,10,0.2015,0.2155
"10",460,10,0.1845,0.1835
"11",510,10,0.1865,0.207
"12",560,10,0.196,0.1945
"13",610,10,0.234,0.227
"14",660,10,0.23,0.21
"15",710,10,0.2275,0.2105
"16",760,10,0.2195,0.2
"17",810,10,0.2425,0.2595
"18",860,10,0.224,0.186
"19",910,10,0.22,0.2135
"20",960,10,0.2115,0.21
"21",1010,10,0.253,0.248
"22",1060,10,0.2225,0.225
"23",10,60,0.71,0.704
"24",60,60,0.7175,0.7175
"25",110,60,0.7135,0.711
"26",160,60,0.714,0.7125
"27",210,60,0.722,0.7155
"28",260,60,0.6985,0.696
"29",310,60,0.718,0.727
"30",360,60,0.7195,0.7085
"31",410,60,0.7045,0.7115
"32",460,60,0.724,0.7205
"33",510,60,0.724,0.7295
"34",560,60,0.702,0.7025
"35",610,60,0.7045,0.7085
"36",660,60,0.7155,0.709
"37",710,60,0.7115,0.6985
"38",760,60,0.6755,0.678
"39",810,60,0.7315,0.724
"40",860,60,0.7,0.7055
"41",910,60,0.7375,0.7275
"42",960,60,0.6905,0.6905
"43",1010,60,0.729,0.7305
"44",1060,60,0.7155,0.721
"45",10,110,0.8965,0.894
"46",60,110,0.9025,0.9035
"47",110,110,0.9205,0.9205
"48",160,110,0.9085,0.9075
"49",210,110,0.8955,0.897
"50",260,110,0.895,0.896
"51",310,110,0.901,0.9
"52",360,110,0.9205,0.9185
"53",410,110,0.908,0.904
"54",460,110,0.891,0.891
"55",510,110,0.9125,0.915
"56",560,110,0.917,0.9165
"57",610,110,0.9205,0.9215
"58",660,110,0.914,0.912
"59",710,110,0.892,0.891
"60",760,110,0.909,0.9085
"61",810,110,0.896,0.8965
"62",860,110,0.9195,0.92
"63",910,110,0.9055,0.906
"64",960,110,0.8925,0.8935
"65",1010,110,0.922,0.922
"66",1060,110,0.9,0.899
"67",10,160,0.9765,0.9765
"68",60,160,0.9675,0.968
"69",110,160,0.9765,0.9765
"70",160,160,0.979,0.979
"71",210,160,0.9645,0.9645
"72",260,160,0.9735,0.9735
"73",310,160,0.9765,0.975
"74",360,160,0.978,0.978
"75",410,160,0.9785,0.9795
"76",460,160,0.969,0.97
"77",510,160,0.9735,0.9735
"78",560,160,0.978,0.978
"79",610,160,0.9755,0.9755
"80",660,160,0.974,0.9745
"81",710,160,0.9755,0.9765
"82",760,160,0.972,0.972
"83",810,160,0.9715,0.9715
"84",860,160,0.9685,0.9685
"85",910,160,0.9705,0.97
"86",960,160,0.98,0.981
"87",1010,160,0.973,0.9725
"88",1060,160,0.9755,0.9755
"89",10,210,0.9895,0.989
"90",60,210,0.994,0.994
"91",110,210,0.991,0.991
"92",160,210,0.993,0.993
"93",210,210,0.994,0.994
"94",260,210,0.994,0.994
"95",310,210,0.9955,0.9955
"96",360,210,0.9895,0.9895
"97",410,210,0.9915,0.9915
"98",460,210,0.993,0.993
"99",510,210,0.996,0.996
"100",560,210,0.991,0.991
"101",610,210,0.9915,0.992
"102",660,210,0.99,0.9905
"103",710,210,0.9925,0.9925
"104",760,210,0.993,0.9935
"105",810,210,0.9945,0.9945
"106",860,210,0.993,0.993
"107",910,210,0.9915,0.9915
"108",960,210,0.9915,0.9915
"109",1010,210,0.9935,0.9935
"110",1060,210,0.991,0.9905
"111",10,260,0.998,0.998
"112",60,260,0.999,0.999
"113",110,260,0.9975,0.9975
"114",160,260,0.9985,0.998
"115",210,260,0.998,0.998
"116",260,260,0.9975,0.9975
"117",310,260,0.999,0.999
"118",360,260,0.9975,0.9975
"119",410,260,0.999,0.999
"120",460,260,0.9995,0.9995
"121",510,260,0.9985,0.9985
"122",560,260,0.998,0.998
"123",610,260,0.9965,0.9965
"124",660,260,1,1
"125",710,260,0.9975,0.9975
"126",760,260,1,1
"127",810,260,0.9975,0.9975
"128",860,260,0.999,0.999
"129",910,260,0.9975,0.9975
"130",960,260,0.997,0.9965
"131",1010,260,0.9985,0.999
"132",1060,260,0.9975,0.997
"133",10,310,0.999,0.999
"134",60,310,1,1
"135",110,310,0.9995,0.9995
"136",160,310,0.9995,0.9995
"137",210,310,0.999,0.9985
"138",260,310,0.999,0.999
"139",310,310,0.9995,0.9995
"140",360,310,1,1
"141",410,310,1,1
"142",460,310,0.999,0.999
"143",510,310,0.999,0.999
"144",560,310,1,1
"145",610,310,1,1
"146",660,310,0.9995,0.9995
"147",710,310,0.9995,0.9995
"148",760,310,0.999,0.999
"149",810,310,0.9995,0.9995
"150",860,310,0.9995,0.9995
"151",910,310,0.9995,0.9995
"152",960,310,0.999,0.999
"153",1010,310,0.9995,0.9995
"154",1060,310,1,1
"155",10,360,1,1
"156",60,360,1,1
"157",110,360,1,1
"158",160,360,1,1
"159",210,360,1,1
"160",260,360,1,1
"161",310,360,1,1
"162",360,360,1,1
"163",410,360,1,1
"164",460,360,0.9995,0.9995
"165",510,360,1,1
"166",560,360,1,1
"167",610,360,1,1
"168",660,360,1,1
"169",710,360,0.9995,0.9995
"170",760,360,1,1
"171",810,360,1,1
"172",860,360,1,1
"173",910,360,1,1
"174",960,360,1,1
"175",1010,360,1,1
"176",1060,360,0.9995,0.9995
"177",10,410,1,1
"178",60,410,1,1
"179",110,410,1,1
"180",160,410,1,1
"181",210,410,1,1
"182",260,410,1,1
"183",310,410,1,1
"184",360,410,1,1
"185",410,410,1,1
"186",460,410,1,1
"187",510,410,1,1
"188",560,410,0.9995,0.9995
"189",610,410,1,1
"190",660,410,1,1
"191",710,410,1,1
"192",760,410,1,1
"193",810,410,1,1
"194",860,410,1,1
"195",910,410,1,1
"196",960,410,1,1
"197",1010,410,1,1
"198",1060,410,1,1
"199",10,460,1,1
"200",60,460,1,1
"201",110,460,1,1
"202",160,460,1,1
"203",210,460,1,1
"204",260,460,1,1
"205",310,460,1,1
"206",360,460,1,1
"207",410,460,1,1
"208",460,460,1,1
"209",510,460,1,1
"210",560,460,1,1
"211",610,460,1,1
"212",660,460,1,1
"213",710,460,1,1
"214",760,460,1,1
"215",810,460,1,1
"216",860,460,1,1
"217",910,460,1,1
"218",960,460,1,1
"219",1010,460,1,1
"220",1060,460,1,1
"221",10,510,1,1
"222",60,510,1,1
"223",110,510,1,1
"224",160,510,1,1
"225",210,510,1,1
"226",260,510,1,1
"227",310,510,1,1
"228",360,510,1,1
"229",410,510,1,1
"230",460,510,1,1
"231",510,510,1,1
"232",560,510,1,1
"233",610,510,1,1
"234",660,510,1,1
"235",710,510,1,1
"236",760,510,1,1
"237",810,510,1,1
"238",860,510,1,1
"239",910,510,1,1
"240",960,510,1,1
"241",1010,510,1,1
"242",1060,510,1,1
"243",10,560,1,1
"244",60,560,1,1
"245",110,560,1,1
"246",160,560,1,1
"247",210,560,1,1
"248",260,560,1,1
"249",310,560,1,1
"250",360,560,1,1
"251",410,560,1,1
"252",460,560,1,1
"253",510,560,1,1
"254",560,560,1,1
"255",610,560,1,1
"256",660,560,1,1
"257",710,560,1,1
"258",760,560,1,1
"259",810,560,1,1
"260",860,560,1,1
"261",910,560,1,1
"262",960,560,1,1
"263",1010,560,1,1
"264",1060,560,1,1
"265",10,610,1,1
"266",60,610,1,1
"267",110,610,1,1
"268",160,610,1,1
"269",210,610,1,1
"270",260,610,1,1
"271",310,610,1,1
"272",360,610,1,1
"273",410,610,1,1
"274",460,610,1,1
"275",510,610,1,1
"276",560,610,1,1
"277",610,610,1,1
"278",660,610,1,1
"279",710,610,1,1
"280",760,610,1,1
"281",810,610,1,1
"282",860,610,1,1
"283",910,610,1,1
"284",960,610,1,1
"285",1010,610,1,1
"286",1060,610,1,1
"287",10,660,1,1
"288",60,660,1,1
"289",110,660,1,1
"290",160,660,1,1
"291",210,660,1,1
"292",260,660,1,1
"293",310,660,1,1
"294",360,660,1,1
"295",410,660,1,1
"296",460,660,1,1
"297",510,660,1,1
"298",560,660,1,1
"299",610,660,1,1
"300",660,660,1,1
"301",710,660,1,1
"302",760,660,1,1
"303",810,660,1,1
"304",860,660,1,1
"305",910,660,1,1
"306",960,660,1,1
"307",1010,660,1,1
"308",1060,660,1,1
"309",10,710,1,1
"310",60,710,1,1
"311",110,710,1,1
"312",160,710,1,1
"313",210,710,1,1
"314",260,710,1,1
"315",310,710,1,1
"316",360,710,1,1
"317",410,710,1,1
"318",460,710,1,1
"319",510,710,1,1
"320",560,710,1,1
"321",610,710,1,1
"322",660,710,1,1
"323",710,710,1,1
"324",760,710,1,1
"325",810,710,1,1
"326",860,710,1,1
"327",910,710,1,1
"328",960,710,1,1
"329",1010,710,1,1
"330",1060,710,1,1
"331",10,760,1,1
"332",60,760,1,1
"333",110,760,1,1
"334",160,760,1,1
"335",210,760,1,1
"336",260,760,1,1
"337",310,760,1,1
"338",360,760,1,1
"339",410,760,1,1
"340",460,760,1,1
"341",510,760,1,1
"342",560,760,1,1
"343",610,760,1,1
"344",660,760,1,1
"345",710,760,1,1
"346",760,760,1,1
"347",810,760,1,1
"348",860,760,1,1
"349",910,760,1,1
"350",960,760,1,1
"351",1010,760,1,1
"352",1060,760,1,1
"353",10,810,1,1
"354",60,810,1,1
"355",110,810,1,1
"356",160,810,1,1
"357",210,810,1,1
"358",260,810,1,1
"359",310,810,1,1
"360",360,810,1,1
"361",410,810,1,1
"362",460,810,1,1
"363",510,810,1,1
"364",560,810,1,1
"365",610,810,1,1
"366",660,810,1,1
"367",710,810,1,1
"368",760,810,1,1
"369",810,810,1,1
"370",860,810,1,1
"371",910,810,1,1
"372",960,810,1,1
"373",1010,810,1,1
"374",1060,810,1,1
"375",10,860,1,1
"376",60,860,1,1
"377",110,860,1,1
"378",160,860,1,1
"379",210,860,1,1
"380",260,860,1,1
"381",310,860,1,1
"382",360,860,1,1
"383",410,860,1,1
"384",460,860,1,1
"385",510,860,1,1
"386",560,860,1,1
"387",610,860,1,1
"388",660,860,1,1
"389",710,860,1,1
"390",760,860,1,1
"391",810,860,1,1
"392",860,860,1,1
"393",910,860,1,1
"394",960,860,1,1
"395",1010,860,1,1
"396",1060,860,1,1
"397",10,910,1,1
"398",60,910,1,1
"399",110,910,1,1
"400",160,910,1,1
"401",210,910,1,1
"402",260,910,1,1
"403",310,910,1,1
"404",360,910,1,1
"405",410,910,1,1
"406",460,910,1,1
"407",510,910,1,1
"408",560,910,1,1
"409",610,910,1,1
"410",660,910,1,1
"411",710,910,1,1
"412",760,910,1,1
"413",810,910,1,1
"414",860,910,1,1
"415",910,910,1,1
"416",960,910,1,1
"417",1010,910,1,1
"418",1060,910,1,1
"419",10,960,1,1
"420",60,960,1,1
"421",110,960,1,1
"422",160,960,1,1
"423",210,960,1,1
"424",260,960,1,1
"425",310,960,1,1
"426",360,960,1,1
"427",410,960,1,1
"428",460,960,1,1
"429",510,960,1,1
"430",560,960,1,1
"431",610,960,1,1
"432",660,960,1,1
"433",710,960,1,1
"434",760,960,1,1
"435",810,960,1,1
"436",860,960,1,1
"437",910,960,1,1
"438",960,960,1,1
"439",1010,960,1,1
"440",1060,960,1,1
"441",10,1010,1,1
"442",60,1010,1,1
"443",110,1010,1,1
"444",160,1010,1,1
"445",210,1010,1,1
"446",260,1010,1,1
"447",310,1010,1,1
"448",360,1010,1,1
"449",410,1010,1,1
"450",460,1010,1,1
"451",510,1010,1,1
"452",560,1010,1,1
"453",610,1010,1,1
"454",660,1010,1,1
"455",710,1010,1,1
"456",760,1010,1,1
"457",810,1010,1,1
"458",860,1010,1,1
"459",910,1010,1,1
"460",960,1010,1,1
"461",1010,1010,1,1
"462",1060,1010,1,1
"463",10,1060,1,1
"464",60,1060,1,1
"465",110,1060,1,1
"466",160,1060,1,1
"467",210,1060,1,1
"468",260,1060,1,1
"469",310,1060,1,1
"470",360,1060,1,1
"471",410,1060,1,1
"472",460,1060,1,1
"473",510,1060,1,1
"474",560,1060,1,1
"475",610,1060,1,1
"476",660,1060,1,1
"477",710,1060,1,1
"478",760,1060,1,1
"479",810,1060,1,1
"480",860,1060,1,1
"481",910,1060,1,1
"482",960,1060,1,1
"483",1010,1060,1,1
"484",1060,1060,1,1
